,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,59.0,13.0,12.0,24.0,17.0,14.0,36.0,13.0,27.0,23.0,15.0,21.0,38.0,25.0,15.0,20.0,20.0,21.0,21.0,11.0,22.0,18.0,19.0,16.0,41.0,34.0,19.0,14.0,11.0,19.0,12.0,13.0,17.0,16.0,14.0,15.0,20.0,15.0,45.0,23.0,13.0,16.0,14.0,16.0,13.0,14.0,15.0,21.0,43.0,28.0
1,55.0,12.0,13.0,36.0,11.0,11.0,31.0,12.0,40.0,23.0,20.0,22.0,67.0,19.0,15.0,25.0,37.0,16.0,39.0,15.0,18.0,91.0,11.0,44.0,11.0,46.0,31.0,27.0,48.0,34.0,11.0,13.0,10.0,13.0,12.0,21.0,13.0,26.0,86.0,14.0,13.0,15.0,12.0,19.0,29.0,21.0,18.0,19.0,99.0,22.0
2,46.0,14.0,22.0,20.0,10.0,13.0,24.0,14.0,37.0,15.0,15.0,40.0,56.0,22.0,15.0,69.0,14.0,15.0,30.0,10.0,9.0,32.0,17.0,36.0,14.0,56.0,76.0,16.0,37.0,35.0,11.0,11.0,16.0,10.0,9.0,18.0,16.0,17.0,59.0,11.0,14.0,16.0,20.0,18.0,22.0,16.0,14.0,34.0,63.0,39.0
3,96.0,11.0,21.0,16.0,9.0,10.0,18.0,10.0,25.0,18.0,15.0,34.0,30.0,37.0,24.0,68.0,25.0,12.0,66.0,14.0,18.0,54.0,13.0,34.0,16.0,82.0,100.0,24.0,25.0,26.0,11.0,11.0,20.0,10.0,11.0,15.0,21.0,46.0,49.0,19.0,15.0,13.0,18.0,14.0,39.0,21.0,13.0,36.0,84.0,48.0
4,71.0,9.0,20.0,16.0,12.0,10.0,21.0,8.0,45.0,29.0,21.0,25.0,37.0,20.0,38.0,83.0,25.0,13.0,69.0,16.0,22.0,80.0,15.0,20.0,9.0,33.0,70.0,34.0,23.0,26.0,12.0,31.0,20.0,11.0,12.0,14.0,17.0,28.0,42.0,24.0,14.0,12.0,18.0,16.0,35.0,23.0,20.0,25.0,51.0,38.0
5,49.0,12.0,21.0,11.0,10.0,10.0,31.0,8.0,31.0,19.0,27.0,36.0,35.0,20.0,34.0,66.0,28.0,11.0,46.0,16.0,24.0,98.0,14.0,17.0,16.0,54.0,80.0,37.0,31.0,33.0,10.0,18.0,17.0,9.0,12.0,11.0,26.0,53.0,51.0,18.0,15.0,16.0,20.0,18.0,58.0,21.0,13.0,32.0,84.0,51.0
6,56.0,11.0,16.0,13.0,9.0,8.0,44.0,10.0,69.0,17.0,21.0,43.0,27.0,25.0,58.0,73.0,64.0,10.0,47.0,13.0,28.0,43.0,25.0,20.0,15.0,45.0,54.0,27.0,26.0,21.0,10.0,28.0,15.0,8.0,13.0,20.0,19.0,41.0,45.0,15.0,19.0,22.0,17.0,23.0,45.0,23.0,12.0,35.0,49.0,57.0
7,48.0,13.0,26.0,19.0,13.0,10.0,47.0,10.0,129.0,23.0,27.0,23.0,21.0,29.0,26.0,43.0,29.0,14.0,37.0,14.0,26.0,88.0,32.0,15.0,13.0,30.0,85.0,22.0,43.0,22.0,14.0,27.0,17.0,9.0,11.0,11.0,14.0,27.0,32.0,15.0,22.0,24.0,14.0,17.0,44.0,45.0,13.0,26.0,39.0,34.0
8,37.0,12.0,18.0,26.0,9.0,8.0,28.0,10.0,42.0,25.0,24.0,32.0,18.0,55.0,36.0,54.0,75.0,12.0,47.0,15.0,20.0,73.0,14.0,18.0,15.0,40.0,98.0,26.0,35.0,19.0,15.0,17.0,15.0,8.0,9.0,12.0,14.0,36.0,49.0,34.0,23.0,22.0,24.0,19.0,31.0,41.0,14.0,39.0,36.0,47.0
9,33.0,10.0,21.0,17.0,8.0,9.0,40.0,12.0,59.0,18.0,20.0,38.0,27.0,59.0,31.0,43.0,37.0,9.0,34.0,12.0,31.0,59.0,16.0,28.0,13.0,31.0,50.0,27.0,46.0,20.0,11.0,27.0,12.0,11.0,10.0,15.0,15.0,31.0,65.0,27.0,25.0,21.0,18.0,21.0,45.0,63.0,13.0,35.0,38.0,70.0
