,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,12.0,16.0,19.0,80.0,41.0,12.0,18.0,26.0,27.0,17.0,36.0,17.0,22.0,8.0,28.0,11.0,32.0,55.0,29.0,28.0,20.0,49.0,16.0,10.0,9.0,41.0,12.0,35.0,21.0,14.0,68.0,37.0,13.0,21.0,23.0,11.0,14.0,32.0,25.0,24.0,14.0,13.0,18.0,11.0,14.0,25.0,26.0,15.0,33.0,18.0
1,18.0,14.0,18.0,70.0,36.0,10.0,12.0,31.0,26.0,21.0,53.0,13.0,73.0,17.0,42.0,19.0,17.0,23.0,29.0,58.0,21.0,44.0,14.0,10.0,13.0,53.0,10.0,19.0,11.0,11.0,43.0,18.0,17.0,35.0,11.0,11.0,13.0,31.0,33.0,16.0,15.0,13.0,12.0,8.0,12.0,14.0,19.0,17.0,50.0,16.0
2,12.0,10.0,17.0,65.0,32.0,9.0,12.0,35.0,17.0,20.0,55.0,10.0,115.0,14.0,32.0,20.0,17.0,25.0,19.0,40.0,12.0,22.0,13.0,10.0,13.0,74.0,12.0,19.0,9.0,11.0,29.0,48.0,14.0,31.0,12.0,11.0,9.0,48.0,22.0,18.0,14.0,10.0,14.0,12.0,10.0,17.0,16.0,17.0,33.0,16.0
3,13.0,13.0,16.0,165.0,56.0,10.0,13.0,49.0,21.0,27.0,41.0,9.0,92.0,13.0,28.0,18.0,15.0,29.0,26.0,56.0,17.0,27.0,15.0,10.0,14.0,56.0,12.0,17.0,12.0,9.0,48.0,31.0,18.0,16.0,10.0,17.0,11.0,64.0,18.0,15.0,17.0,9.0,12.0,8.0,13.0,15.0,28.0,16.0,54.0,14.0
4,11.0,15.0,12.0,51.0,26.0,11.0,13.0,67.0,29.0,30.0,35.0,10.0,69.0,16.0,36.0,23.0,24.0,34.0,22.0,33.0,19.0,37.0,15.0,10.0,13.0,62.0,11.0,18.0,12.0,12.0,37.0,43.0,13.0,30.0,10.0,22.0,9.0,42.0,18.0,19.0,16.0,10.0,11.0,10.0,14.0,17.0,23.0,12.0,27.0,16.0
5,16.0,14.0,11.0,92.0,29.0,9.0,14.0,28.0,36.0,25.0,57.0,9.0,51.0,10.0,30.0,15.0,22.0,56.0,22.0,31.0,21.0,19.0,12.0,9.0,15.0,77.0,11.0,20.0,9.0,9.0,40.0,34.0,22.0,38.0,11.0,24.0,10.0,35.0,34.0,26.0,13.0,10.0,12.0,9.0,16.0,15.0,22.0,14.0,38.0,21.0
6,14.0,19.0,14.0,72.0,29.0,9.0,15.0,37.0,30.0,34.0,35.0,9.0,36.0,10.0,34.0,18.0,16.0,38.0,18.0,90.0,16.0,32.0,17.0,10.0,18.0,38.0,16.0,28.0,13.0,8.0,58.0,33.0,17.0,23.0,9.0,22.0,8.0,33.0,22.0,28.0,12.0,11.0,18.0,10.0,19.0,10.0,24.0,17.0,38.0,17.0
7,20.0,24.0,14.0,60.0,26.0,10.0,11.0,153.0,38.0,19.0,39.0,9.0,61.0,12.0,54.0,16.0,17.0,40.0,24.0,70.0,16.0,33.0,12.0,10.0,15.0,61.0,14.0,26.0,15.0,8.0,31.0,50.0,19.0,22.0,9.0,22.0,9.0,25.0,30.0,29.0,15.0,11.0,26.0,10.0,22.0,19.0,27.0,12.0,44.0,16.0
8,19.0,27.0,13.0,49.0,25.0,11.0,14.0,51.0,25.0,32.0,41.0,10.0,78.0,12.0,34.0,21.0,13.0,51.0,20.0,44.0,10.0,39.0,15.0,10.0,18.0,50.0,14.0,27.0,16.0,9.0,43.0,44.0,21.0,18.0,10.0,26.0,9.0,26.0,20.0,30.0,16.0,16.0,24.0,9.0,28.0,13.0,28.0,12.0,46.0,15.0
9,14.0,22.0,14.0,54.0,37.0,9.0,15.0,96.0,40.0,21.0,22.0,8.0,134.0,16.0,31.0,17.0,17.0,50.0,19.0,59.0,15.0,37.0,19.0,9.0,15.0,63.0,16.0,24.0,11.0,9.0,33.0,57.0,20.0,15.0,10.0,23.0,10.0,27.0,23.0,23.0,23.0,17.0,18.0,10.0,26.0,11.0,27.0,17.0,23.0,20.0
