,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,12.0,13.0,32.0,43.0,12.0,20.0,13.0,29.0,18.0,40.0,19.0,29.0,32.0,13.0,14.0,17.0,19.0,12.0,36.0,19.0,13.0,15.0,17.0,48.0,24.0,23.0,15.0,21.0,11.0,11.0,19.0,16.0,35.0,28.0,15.0,53.0,29.0,14.0,20.0,18.0,18.0,27.0,20.0,30.0,16.0,18.0,20.0,14.0,12.0,16.0
1,10.0,14.0,14.0,12.0,8.0,16.0,10.0,12.0,13.0,12.0,11.0,8.0,10.0,8.0,8.0,11.0,13.0,8.0,9.0,10.0,10.0,16.0,19.0,9.0,9.0,13.0,11.0,16.0,15.0,8.0,9.0,10.0,10.0,10.0,13.0,12.0,16.0,13.0,9.0,10.0,16.0,11.0,10.0,10.0,11.0,11.0,13.0,13.0,11.0,10.0
2,10.0,12.0,12.0,11.0,12.0,14.0,12.0,10.0,13.0,10.0,15.0,15.0,11.0,10.0,11.0,10.0,13.0,10.0,10.0,15.0,11.0,9.0,22.0,9.0,13.0,11.0,18.0,20.0,10.0,10.0,8.0,15.0,9.0,15.0,12.0,11.0,9.0,11.0,27.0,13.0,18.0,14.0,9.0,11.0,11.0,10.0,10.0,11.0,13.0,12.0
3,9.0,17.0,10.0,11.0,10.0,10.0,17.0,22.0,14.0,16.0,19.0,13.0,11.0,12.0,8.0,21.0,13.0,12.0,11.0,12.0,9.0,17.0,10.0,8.0,13.0,19.0,11.0,24.0,9.0,12.0,12.0,11.0,8.0,20.0,17.0,12.0,12.0,15.0,12.0,13.0,13.0,9.0,10.0,9.0,10.0,8.0,13.0,15.0,11.0,15.0
4,10.0,13.0,9.0,10.0,8.0,19.0,12.0,18.0,9.0,11.0,11.0,16.0,8.0,10.0,12.0,18.0,16.0,8.0,10.0,9.0,12.0,11.0,18.0,14.0,13.0,11.0,21.0,12.0,11.0,8.0,9.0,10.0,10.0,11.0,11.0,14.0,11.0,13.0,16.0,10.0,18.0,13.0,8.0,12.0,12.0,10.0,10.0,19.0,12.0,12.0
5,10.0,16.0,11.0,10.0,11.0,15.0,10.0,21.0,8.0,10.0,16.0,16.0,9.0,11.0,10.0,13.0,18.0,9.0,14.0,11.0,13.0,17.0,15.0,12.0,11.0,10.0,9.0,17.0,10.0,11.0,11.0,10.0,11.0,12.0,16.0,20.0,10.0,8.0,15.0,12.0,14.0,13.0,11.0,13.0,10.0,11.0,10.0,21.0,9.0,11.0
6,11.0,14.0,17.0,10.0,10.0,9.0,16.0,13.0,12.0,33.0,19.0,15.0,13.0,16.0,11.0,13.0,15.0,9.0,13.0,11.0,13.0,13.0,10.0,12.0,12.0,14.0,8.0,9.0,15.0,13.0,9.0,10.0,17.0,23.0,21.0,10.0,13.0,13.0,12.0,10.0,19.0,12.0,13.0,13.0,9.0,8.0,11.0,18.0,14.0,19.0
7,12.0,14.0,15.0,9.0,10.0,12.0,38.0,13.0,13.0,21.0,22.0,20.0,12.0,12.0,16.0,11.0,11.0,11.0,9.0,10.0,13.0,13.0,37.0,12.0,9.0,12.0,17.0,17.0,15.0,10.0,14.0,10.0,11.0,13.0,10.0,10.0,11.0,10.0,21.0,10.0,11.0,14.0,8.0,9.0,11.0,10.0,9.0,9.0,14.0,11.0
8,14.0,14.0,9.0,10.0,10.0,20.0,13.0,13.0,8.0,18.0,12.0,19.0,9.0,13.0,15.0,13.0,21.0,9.0,13.0,9.0,15.0,9.0,11.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,20.0,15.0,14.0,18.0,11.0,16.0,17.0,9.0,9.0,12.0,12.0,11.0,18.0,13.0,9.0
9,11.0,14.0,10.0,12.0,10.0,17.0,10.0,12.0,9.0,11.0,10.0,13.0,13.0,12.0,11.0,11.0,17.0,9.0,14.0,11.0,13.0,15.0,14.0,12.0,10.0,11.0,12.0,12.0,11.0,9.0,12.0,15.0,11.0,14.0,14.0,17.0,13.0,20.0,10.0,11.0,11.0,16.0,13.0,9.0,9.0,11.0,10.0,13.0,9.0,10.0
10,10.0,18.0,14.0,11.0,9.0,9.0,13.0,12.0,9.0,11.0,11.0,14.0,11.0,9.0,12.0,13.0,17.0,8.0,12.0,13.0,10.0,12.0,10.0,12.0,9.0,11.0,11.0,9.0,12.0,9.0,10.0,10.0,10.0,14.0,13.0,13.0,16.0,15.0,15.0,9.0,15.0,17.0,11.0,11.0,11.0,9.0,10.0,16.0,9.0,10.0
11,9.0,13.0,15.0,11.0,10.0,13.0,9.0,16.0,11.0,10.0,12.0,12.0,10.0,11.0,14.0,15.0,14.0,10.0,10.0,9.0,12.0,18.0,19.0,16.0,12.0,14.0,14.0,16.0,14.0,10.0,12.0,13.0,10.0,14.0,10.0,15.0,11.0,12.0,12.0,12.0,26.0,13.0,12.0,9.0,11.0,13.0,10.0,17.0,9.0,10.0
12,11.0,11.0,10.0,11.0,11.0,21.0,13.0,11.0,12.0,17.0,15.0,12.0,9.0,8.0,13.0,16.0,15.0,9.0,13.0,10.0,9.0,10.0,16.0,11.0,9.0,15.0,12.0,20.0,13.0,9.0,11.0,15.0,10.0,23.0,9.0,15.0,14.0,13.0,14.0,12.0,23.0,16.0,10.0,10.0,9.0,9.0,9.0,14.0,9.0,12.0
13,10.0,14.0,14.0,10.0,9.0,14.0,11.0,13.0,9.0,12.0,14.0,11.0,10.0,13.0,10.0,13.0,19.0,8.0,10.0,12.0,13.0,14.0,16.0,9.0,11.0,16.0,11.0,15.0,23.0,9.0,14.0,9.0,11.0,15.0,14.0,12.0,9.0,13.0,12.0,10.0,13.0,10.0,11.0,8.0,9.0,11.0,13.0,12.0,14.0,11.0
14,11.0,13.0,19.0,8.0,9.0,23.0,12.0,18.0,10.0,12.0,12.0,28.0,10.0,10.0,12.0,14.0,15.0,9.0,13.0,10.0,11.0,15.0,9.0,10.0,11.0,11.0,12.0,12.0,16.0,11.0,9.0,11.0,13.0,21.0,17.0,14.0,12.0,14.0,23.0,10.0,16.0,14.0,11.0,9.0,11.0,13.0,11.0,11.0,10.0,11.0
15,11.0,14.0,16.0,11.0,10.0,13.0,10.0,14.0,12.0,18.0,11.0,19.0,10.0,10.0,9.0,13.0,16.0,11.0,10.0,9.0,10.0,22.0,19.0,14.0,11.0,17.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,13.0,17.0,12.0,12.0,11.0,12.0,11.0,9.0,9.0,11.0,13.0,14.0,22.0,13.0,13.0
16,9.0,26.0,13.0,10.0,13.0,11.0,14.0,14.0,10.0,15.0,23.0,11.0,12.0,14.0,9.0,20.0,17.0,9.0,9.0,11.0,11.0,12.0,12.0,12.0,11.0,16.0,14.0,13.0,10.0,13.0,13.0,17.0,10.0,11.0,11.0,11.0,13.0,17.0,18.0,10.0,17.0,16.0,10.0,10.0,11.0,9.0,8.0,20.0,9.0,13.0
17,10.0,13.0,11.0,12.0,9.0,18.0,13.0,11.0,11.0,13.0,14.0,13.0,8.0,12.0,11.0,15.0,14.0,9.0,10.0,10.0,13.0,11.0,24.0,14.0,11.0,10.0,13.0,25.0,14.0,10.0,11.0,10.0,10.0,21.0,12.0,12.0,9.0,13.0,22.0,11.0,17.0,17.0,11.0,10.0,12.0,10.0,10.0,12.0,11.0,11.0
18,8.0,13.0,11.0,9.0,10.0,16.0,13.0,10.0,11.0,9.0,14.0,15.0,8.0,12.0,9.0,13.0,14.0,10.0,11.0,13.0,10.0,14.0,10.0,9.0,11.0,18.0,10.0,19.0,14.0,10.0,11.0,11.0,14.0,13.0,9.0,11.0,13.0,13.0,9.0,20.0,17.0,16.0,8.0,13.0,9.0,10.0,13.0,25.0,9.0,13.0
19,9.0,15.0,17.0,10.0,8.0,12.0,11.0,12.0,8.0,11.0,13.0,10.0,9.0,9.0,15.0,18.0,11.0,10.0,11.0,12.0,9.0,12.0,26.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,15.0,18.0,15.0,12.0,12.0,12.0,11.0,16.0,13.0,8.0,11.0,10.0,10.0,10.0,12.0,10.0,9.0
20,10.0,15.0,13.0,9.0,14.0,15.0,15.0,16.0,9.0,16.0,12.0,21.0,13.0,15.0,9.0,10.0,16.0,10.0,15.0,11.0,12.0,13.0,13.0,11.0,10.0,13.0,13.0,29.0,13.0,10.0,11.0,11.0,14.0,13.0,13.0,12.0,11.0,12.0,16.0,13.0,12.0,12.0,9.0,8.0,10.0,13.0,11.0,11.0,10.0,10.0
21,13.0,20.0,14.0,10.0,8.0,13.0,9.0,19.0,9.0,12.0,13.0,14.0,9.0,11.0,9.0,21.0,12.0,9.0,10.0,13.0,12.0,13.0,13.0,12.0,13.0,15.0,11.0,14.0,31.0,12.0,16.0,12.0,15.0,14.0,9.0,14.0,15.0,16.0,9.0,11.0,15.0,13.0,10.0,9.0,8.0,10.0,16.0,17.0,13.0,13.0
