,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,28.0,13.0,19.0,9.0,12.0,15.0,35.0,17.0,18.0,17.0,15.0,40.0,20.0,19.0,42.0,16.0,17.0,24.0,16.0,16.0,12.0,18.0,29.0,14.0,11.0,18.0,11.0,26.0,17.0,13.0,13.0,37.0,32.0,16.0,44.0,72.0,18.0,12.0,17.0,19.0,19.0,11.0,17.0,40.0,23.0,13.0,14.0,21.0,22.0,16.0
1,15.0,32.0,23.0,10.0,26.0,15.0,35.0,35.0,27.0,16.0,13.0,12.0,26.0,41.0,16.0,19.0,22.0,86.0,17.0,44.0,9.0,14.0,37.0,21.0,11.0,12.0,39.0,20.0,13.0,23.0,20.0,58.0,46.0,21.0,19.0,66.0,9.0,20.0,9.0,18.0,31.0,13.0,12.0,61.0,46.0,13.0,23.0,32.0,28.0,18.0
2,22.0,30.0,17.0,10.0,32.0,16.0,24.0,18.0,26.0,10.0,13.0,17.0,43.0,19.0,12.0,102.0,36.0,62.0,15.0,29.0,9.0,14.0,55.0,17.0,14.0,22.0,23.0,24.0,13.0,46.0,15.0,57.0,17.0,21.0,48.0,46.0,12.0,56.0,14.0,37.0,37.0,11.0,10.0,28.0,20.0,27.0,13.0,18.0,34.0,24.0
3,19.0,72.0,21.0,8.0,32.0,27.0,55.0,12.0,41.0,13.0,16.0,17.0,50.0,37.0,15.0,67.0,27.0,77.0,43.0,15.0,9.0,20.0,38.0,24.0,20.0,10.0,22.0,53.0,46.0,51.0,12.0,59.0,21.0,10.0,36.0,40.0,15.0,40.0,13.0,50.0,58.0,9.0,13.0,29.0,19.0,44.0,23.0,16.0,45.0,42.0
4,37.0,42.0,26.0,9.0,66.0,28.0,37.0,13.0,46.0,13.0,12.0,17.0,30.0,63.0,16.0,26.0,93.0,22.0,31.0,16.0,13.0,36.0,31.0,23.0,22.0,14.0,40.0,48.0,60.0,52.0,10.0,42.0,29.0,11.0,34.0,42.0,12.0,32.0,10.0,24.0,39.0,9.0,17.0,58.0,26.0,44.0,36.0,18.0,60.0,46.0
5,28.0,39.0,36.0,8.0,54.0,25.0,30.0,17.0,46.0,15.0,14.0,53.0,17.0,40.0,24.0,24.0,52.0,46.0,29.0,46.0,10.0,13.0,27.0,62.0,11.0,10.0,24.0,29.0,48.0,30.0,20.0,23.0,17.0,13.0,12.0,15.0,12.0,13.0,12.0,77.0,72.0,9.0,12.0,19.0,22.0,25.0,26.0,16.0,31.0,44.0
6,18.0,63.0,28.0,9.0,28.0,19.0,81.0,15.0,98.0,25.0,24.0,60.0,57.0,28.0,33.0,67.0,69.0,48.0,32.0,89.0,8.0,23.0,16.0,49.0,22.0,14.0,35.0,46.0,45.0,39.0,11.0,26.0,26.0,34.0,31.0,47.0,12.0,28.0,10.0,42.0,61.0,10.0,10.0,17.0,18.0,11.0,22.0,23.0,54.0,57.0
7,35.0,35.0,67.0,9.0,85.0,129.0,29.0,19.0,66.0,23.0,33.0,16.0,94.0,28.0,60.0,60.0,114.0,42.0,22.0,46.0,10.0,19.0,21.0,30.0,19.0,14.0,37.0,66.0,42.0,57.0,15.0,15.0,41.0,36.0,37.0,57.0,12.0,56.0,10.0,62.0,40.0,9.0,29.0,37.0,15.0,84.0,17.0,41.0,72.0,52.0
8,33.0,29.0,28.0,10.0,23.0,39.0,25.0,22.0,24.0,42.0,36.0,28.0,40.0,20.0,33.0,117.0,27.0,29.0,21.0,71.0,10.0,37.0,40.0,28.0,14.0,10.0,31.0,26.0,32.0,91.0,14.0,27.0,47.0,13.0,80.0,76.0,13.0,27.0,9.0,38.0,40.0,12.0,17.0,44.0,41.0,18.0,20.0,42.0,50.0,20.0
9,52.0,104.0,79.0,9.0,43.0,31.0,32.0,21.0,41.0,38.0,32.0,33.0,44.0,34.0,43.0,25.0,32.0,77.0,49.0,54.0,9.0,34.0,42.0,121.0,58.0,14.0,50.0,63.0,87.0,15.0,20.0,83.0,75.0,42.0,28.0,37.0,14.0,54.0,10.0,63.0,32.0,10.0,83.0,54.0,19.0,30.0,75.0,57.0,54.0,43.0
10,59.0,59.0,91.0,10.0,50.0,21.0,24.0,21.0,41.0,45.0,26.0,20.0,81.0,59.0,19.0,28.0,17.0,45.0,28.0,35.0,9.0,46.0,25.0,69.0,78.0,8.0,39.0,49.0,45.0,56.0,36.0,26.0,45.0,33.0,31.0,41.0,11.0,39.0,13.0,28.0,41.0,10.0,19.0,38.0,43.0,77.0,37.0,48.0,17.0,33.0
11,45.0,35.0,97.0,10.0,30.0,31.0,42.0,21.0,24.0,28.0,41.0,28.0,26.0,34.0,25.0,26.0,22.0,51.0,22.0,41.0,10.0,139.0,37.0,108.0,28.0,9.0,28.0,48.0,30.0,25.0,27.0,50.0,27.0,19.0,48.0,41.0,9.0,13.0,9.0,94.0,37.0,10.0,100.0,91.0,27.0,19.0,48.0,31.0,45.0,42.0
