,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,57.0,27.0,12.0,43.0,11.0,38.0,35.0,13.0,36.0,19.0,40.0,23.0,13.0,29.0,17.0,38.0,30.0,21.0,29.0,21.0,16.0,45.0,66.0,13.0,21.0,24.0,36.0,32.0,32.0,40.0,11.0,13.0,19.0,17.0,14.0,16.0,13.0,16.0,17.0,11.0,17.0,34.0,45.0,21.0,29.0,30.0,9.0,40.0,16.0,12.0
1,132.0,29.0,12.0,35.0,10.0,43.0,49.0,15.0,30.0,25.0,62.0,68.0,13.0,25.0,24.0,47.0,47.0,20.0,50.0,20.0,17.0,57.0,29.0,10.0,62.0,21.0,24.0,29.0,84.0,40.0,14.0,24.0,16.0,13.0,11.0,21.0,16.0,27.0,18.0,11.0,37.0,40.0,21.0,28.0,101.0,45.0,10.0,31.0,23.0,13.0
2,47.0,17.0,12.0,65.0,9.0,41.0,20.0,13.0,19.0,25.0,33.0,41.0,19.0,22.0,14.0,74.0,27.0,23.0,32.0,59.0,37.0,33.0,28.0,12.0,63.0,21.0,49.0,35.0,73.0,28.0,11.0,33.0,25.0,11.0,10.0,13.0,12.0,18.0,22.0,12.0,25.0,46.0,53.0,38.0,83.0,53.0,10.0,43.0,20.0,9.0
3,53.0,23.0,17.0,24.0,13.0,56.0,27.0,21.0,90.0,27.0,27.0,22.0,18.0,13.0,15.0,34.0,32.0,34.0,43.0,42.0,31.0,27.0,87.0,13.0,33.0,29.0,30.0,18.0,80.0,38.0,9.0,59.0,29.0,15.0,12.0,21.0,14.0,22.0,17.0,15.0,54.0,28.0,48.0,21.0,61.0,23.0,10.0,38.0,21.0,15.0
4,31.0,36.0,12.0,35.0,11.0,24.0,46.0,15.0,31.0,28.0,23.0,31.0,13.0,15.0,22.0,23.0,41.0,30.0,74.0,54.0,26.0,17.0,41.0,13.0,33.0,32.0,27.0,25.0,38.0,30.0,9.0,25.0,28.0,14.0,14.0,48.0,14.0,18.0,13.0,10.0,95.0,52.0,14.0,82.0,42.0,20.0,9.0,37.0,61.0,14.0
5,56.0,55.0,15.0,27.0,13.0,121.0,28.0,11.0,30.0,33.0,19.0,25.0,11.0,39.0,15.0,84.0,26.0,29.0,53.0,28.0,159.0,36.0,51.0,12.0,60.0,27.0,36.0,32.0,54.0,44.0,11.0,19.0,28.0,15.0,10.0,19.0,10.0,17.0,10.0,14.0,19.0,41.0,23.0,74.0,109.0,43.0,10.0,32.0,11.0,14.0
6,55.0,47.0,10.0,60.0,12.0,50.0,81.0,21.0,38.0,20.0,43.0,65.0,15.0,17.0,26.0,36.0,44.0,27.0,36.0,53.0,56.0,60.0,39.0,10.0,40.0,25.0,30.0,32.0,51.0,47.0,10.0,58.0,30.0,14.0,10.0,28.0,15.0,23.0,17.0,12.0,41.0,25.0,27.0,79.0,81.0,41.0,10.0,35.0,47.0,20.0
7,46.0,37.0,19.0,29.0,11.0,20.0,26.0,14.0,46.0,27.0,29.0,45.0,14.0,30.0,17.0,30.0,96.0,29.0,85.0,48.0,26.0,38.0,19.0,13.0,33.0,36.0,54.0,36.0,62.0,22.0,11.0,70.0,18.0,16.0,13.0,41.0,10.0,19.0,20.0,11.0,20.0,31.0,54.0,48.0,36.0,34.0,9.0,42.0,12.0,18.0
8,63.0,60.0,12.0,34.0,11.0,63.0,32.0,15.0,19.0,35.0,35.0,30.0,20.0,22.0,14.0,43.0,20.0,20.0,39.0,36.0,17.0,81.0,22.0,12.0,38.0,18.0,49.0,28.0,29.0,33.0,15.0,73.0,15.0,21.0,13.0,23.0,18.0,16.0,24.0,12.0,78.0,28.0,56.0,31.0,76.0,20.0,8.0,58.0,26.0,14.0
9,65.0,26.0,17.0,37.0,18.0,26.0,22.0,14.0,33.0,39.0,45.0,71.0,21.0,38.0,33.0,59.0,75.0,29.0,79.0,29.0,23.0,47.0,39.0,12.0,44.0,25.0,80.0,22.0,37.0,31.0,16.0,22.0,19.0,19.0,12.0,40.0,16.0,71.0,22.0,11.0,74.0,37.0,41.0,25.0,115.0,32.0,8.0,45.0,20.0,18.0
10,34.0,41.0,12.0,69.0,16.0,34.0,42.0,19.0,63.0,31.0,26.0,41.0,29.0,36.0,20.0,81.0,34.0,64.0,49.0,54.0,22.0,38.0,43.0,9.0,19.0,37.0,48.0,34.0,53.0,50.0,9.0,34.0,24.0,17.0,12.0,36.0,13.0,60.0,17.0,16.0,24.0,54.0,29.0,28.0,64.0,41.0,8.0,35.0,40.0,11.0
11,54.0,80.0,26.0,98.0,14.0,35.0,32.0,18.0,48.0,28.0,27.0,61.0,15.0,18.0,25.0,102.0,23.0,20.0,78.0,74.0,31.0,90.0,45.0,10.0,89.0,20.0,42.0,43.0,92.0,14.0,13.0,18.0,22.0,24.0,18.0,18.0,16.0,25.0,12.0,12.0,41.0,42.0,28.0,29.0,28.0,39.0,10.0,57.0,54.0,14.0
12,26.0,53.0,15.0,64.0,13.0,37.0,30.0,15.0,40.0,32.0,102.0,27.0,14.0,18.0,18.0,65.0,38.0,17.0,48.0,41.0,26.0,78.0,56.0,11.0,72.0,48.0,46.0,33.0,82.0,50.0,9.0,20.0,47.0,17.0,13.0,21.0,14.0,17.0,29.0,19.0,53.0,66.0,65.0,30.0,43.0,25.0,10.0,95.0,17.0,11.0
13,37.0,35.0,11.0,49.0,12.0,27.0,101.0,15.0,60.0,35.0,29.0,35.0,23.0,32.0,21.0,84.0,57.0,33.0,39.0,35.0,62.0,57.0,22.0,12.0,19.0,22.0,40.0,60.0,30.0,20.0,15.0,29.0,16.0,18.0,14.0,21.0,15.0,35.0,21.0,15.0,14.0,46.0,43.0,14.0,25.0,35.0,10.0,42.0,27.0,15.0
14,76.0,68.0,15.0,82.0,13.0,61.0,41.0,36.0,36.0,38.0,32.0,26.0,18.0,20.0,21.0,43.0,37.0,18.0,40.0,33.0,17.0,40.0,29.0,11.0,101.0,34.0,32.0,88.0,52.0,26.0,15.0,97.0,17.0,15.0,11.0,22.0,14.0,26.0,18.0,13.0,34.0,50.0,46.0,40.0,49.0,36.0,9.0,33.0,111.0,12.0
15,61.0,18.0,17.0,42.0,10.0,84.0,29.0,14.0,42.0,24.0,37.0,25.0,23.0,36.0,13.0,34.0,38.0,32.0,53.0,46.0,30.0,26.0,84.0,18.0,36.0,43.0,93.0,33.0,41.0,30.0,18.0,27.0,14.0,11.0,17.0,28.0,11.0,12.0,26.0,11.0,21.0,35.0,30.0,37.0,74.0,32.0,9.0,55.0,58.0,16.0
16,20.0,28.0,22.0,27.0,11.0,33.0,67.0,17.0,26.0,38.0,32.0,41.0,24.0,13.0,20.0,61.0,25.0,21.0,39.0,41.0,27.0,31.0,61.0,11.0,68.0,74.0,48.0,49.0,32.0,22.0,10.0,35.0,26.0,27.0,9.0,39.0,12.0,19.0,26.0,10.0,38.0,31.0,23.0,72.0,52.0,30.0,8.0,66.0,25.0,13.0
17,43.0,68.0,20.0,36.0,14.0,35.0,16.0,13.0,25.0,28.0,38.0,32.0,18.0,44.0,25.0,54.0,26.0,55.0,81.0,57.0,32.0,36.0,134.0,16.0,91.0,19.0,38.0,23.0,27.0,33.0,12.0,20.0,39.0,12.0,11.0,36.0,14.0,28.0,24.0,22.0,24.0,44.0,23.0,110.0,36.0,16.0,10.0,37.0,27.0,13.0
18,47.0,66.0,20.0,27.0,14.0,27.0,34.0,17.0,67.0,29.0,68.0,25.0,21.0,20.0,13.0,56.0,38.0,23.0,32.0,31.0,35.0,29.0,23.0,11.0,44.0,31.0,58.0,34.0,19.0,33.0,15.0,44.0,27.0,19.0,17.0,33.0,17.0,19.0,17.0,12.0,84.0,63.0,17.0,53.0,18.0,61.0,9.0,55.0,28.0,18.0
19,45.0,45.0,14.0,31.0,11.0,39.0,45.0,18.0,136.0,40.0,34.0,64.0,14.0,100.0,36.0,30.0,57.0,39.0,43.0,48.0,38.0,32.0,73.0,11.0,23.0,38.0,32.0,23.0,29.0,37.0,13.0,17.0,33.0,12.0,13.0,33.0,17.0,23.0,16.0,14.0,34.0,23.0,33.0,31.0,38.0,36.0,10.0,77.0,21.0,12.0
20,45.0,38.0,19.0,29.0,16.0,63.0,22.0,11.0,59.0,26.0,70.0,42.0,14.0,50.0,28.0,28.0,44.0,33.0,43.0,66.0,43.0,79.0,75.0,16.0,25.0,39.0,29.0,30.0,79.0,34.0,11.0,53.0,25.0,20.0,14.0,23.0,14.0,32.0,15.0,17.0,25.0,28.0,40.0,72.0,52.0,61.0,10.0,25.0,66.0,19.0
21,42.0,68.0,12.0,57.0,10.0,43.0,69.0,19.0,72.0,25.0,42.0,62.0,18.0,31.0,17.0,96.0,81.0,31.0,93.0,55.0,47.0,36.0,24.0,11.0,22.0,59.0,37.0,31.0,84.0,36.0,9.0,44.0,24.0,24.0,16.0,44.0,13.0,32.0,16.0,17.0,43.0,29.0,42.0,24.0,71.0,61.0,10.0,99.0,29.0,13.0
22,60.0,109.0,16.0,40.0,12.0,39.0,59.0,14.0,94.0,31.0,42.0,27.0,21.0,14.0,17.0,45.0,38.0,19.0,45.0,44.0,28.0,64.0,61.0,11.0,27.0,41.0,55.0,25.0,16.0,18.0,12.0,14.0,35.0,14.0,14.0,43.0,23.0,30.0,16.0,19.0,48.0,71.0,54.0,48.0,26.0,36.0,9.0,145.0,18.0,13.0
23,63.0,86.0,20.0,70.0,12.0,36.0,67.0,18.0,76.0,48.0,54.0,30.0,22.0,28.0,26.0,48.0,59.0,31.0,39.0,52.0,85.0,31.0,51.0,9.0,20.0,28.0,52.0,67.0,57.0,69.0,14.0,36.0,25.0,10.0,16.0,43.0,17.0,17.0,37.0,13.0,77.0,31.0,129.0,50.0,60.0,65.0,9.0,34.0,20.0,14.0
24,41.0,36.0,13.0,57.0,11.0,40.0,68.0,17.0,45.0,35.0,45.0,45.0,22.0,29.0,21.0,49.0,36.0,43.0,38.0,58.0,69.0,35.0,50.0,15.0,53.0,50.0,49.0,35.0,45.0,52.0,15.0,43.0,31.0,11.0,16.0,33.0,15.0,36.0,17.0,26.0,38.0,57.0,51.0,34.0,55.0,39.0,9.0,63.0,16.0,17.0
25,56.0,72.0,23.0,39.0,15.0,26.0,55.0,23.0,18.0,43.0,68.0,22.0,21.0,20.0,19.0,88.0,72.0,35.0,50.0,46.0,23.0,49.0,50.0,9.0,34.0,47.0,28.0,47.0,40.0,18.0,10.0,28.0,29.0,14.0,13.0,25.0,18.0,22.0,23.0,11.0,40.0,35.0,34.0,65.0,54.0,46.0,10.0,49.0,31.0,14.0
26,55.0,58.0,20.0,50.0,11.0,146.0,42.0,20.0,49.0,32.0,64.0,40.0,20.0,23.0,76.0,83.0,107.0,30.0,42.0,47.0,27.0,32.0,15.0,13.0,52.0,28.0,59.0,31.0,68.0,32.0,16.0,63.0,23.0,13.0,17.0,17.0,22.0,45.0,12.0,17.0,30.0,44.0,31.0,47.0,35.0,51.0,10.0,66.0,28.0,16.0
27,44.0,31.0,15.0,32.0,15.0,55.0,52.0,14.0,37.0,33.0,31.0,98.0,17.0,24.0,21.0,34.0,66.0,29.0,94.0,45.0,31.0,65.0,47.0,14.0,66.0,18.0,56.0,72.0,33.0,17.0,18.0,79.0,21.0,14.0,15.0,31.0,11.0,31.0,16.0,17.0,78.0,40.0,60.0,32.0,67.0,30.0,8.0,67.0,20.0,13.0
28,24.0,43.0,17.0,58.0,14.0,72.0,62.0,12.0,24.0,38.0,78.0,59.0,17.0,19.0,23.0,28.0,64.0,25.0,35.0,54.0,44.0,78.0,52.0,18.0,31.0,24.0,60.0,25.0,33.0,32.0,9.0,30.0,21.0,11.0,18.0,44.0,12.0,28.0,14.0,9.0,48.0,63.0,41.0,16.0,48.0,24.0,10.0,29.0,24.0,13.0
29,72.0,91.0,19.0,66.0,14.0,42.0,42.0,24.0,38.0,43.0,33.0,20.0,22.0,36.0,25.0,63.0,31.0,29.0,50.0,46.0,40.0,16.0,62.0,17.0,22.0,37.0,35.0,40.0,54.0,39.0,17.0,45.0,15.0,17.0,15.0,50.0,12.0,27.0,16.0,14.0,52.0,35.0,45.0,16.0,31.0,42.0,9.0,40.0,27.0,15.0
