,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,12.0,13.0,18.0,20.0,34.0,10.0,23.0,27.0,47.0,13.0,22.0,16.0,19.0,42.0,16.0,33.0,52.0,21.0,29.0,12.0,27.0,20.0,12.0,17.0,54.0,28.0,11.0,12.0,16.0,19.0,19.0,31.0,19.0,19.0,19.0,14.0,22.0,19.0,11.0,25.0,20.0,13.0,13.0,17.0,23.0,13.0,14.0,35.0,49.0,16.0
1,10.0,29.0,18.0,85.0,13.0,17.0,28.0,24.0,14.0,19.0,17.0,16.0,10.0,41.0,22.0,34.0,17.0,15.0,18.0,17.0,34.0,8.0,15.0,39.0,13.0,27.0,18.0,14.0,25.0,18.0,42.0,43.0,14.0,15.0,17.0,50.0,18.0,16.0,13.0,11.0,17.0,31.0,17.0,20.0,53.0,37.0,30.0,17.0,22.0,20.0
2,21.0,37.0,12.0,16.0,33.0,29.0,12.0,11.0,25.0,16.0,11.0,26.0,17.0,18.0,12.0,45.0,17.0,29.0,17.0,33.0,26.0,20.0,14.0,11.0,31.0,22.0,26.0,28.0,11.0,33.0,28.0,14.0,19.0,25.0,21.0,19.0,18.0,26.0,19.0,13.0,10.0,40.0,29.0,10.0,21.0,43.0,21.0,17.0,12.0,26.0
3,13.0,25.0,24.0,13.0,21.0,20.0,11.0,29.0,13.0,13.0,18.0,18.0,11.0,17.0,33.0,15.0,18.0,25.0,18.0,31.0,32.0,12.0,23.0,20.0,9.0,23.0,16.0,95.0,10.0,13.0,41.0,22.0,33.0,27.0,18.0,29.0,20.0,13.0,23.0,16.0,9.0,16.0,20.0,29.0,84.0,13.0,28.0,14.0,22.0,28.0
4,9.0,23.0,11.0,22.0,14.0,14.0,13.0,45.0,42.0,20.0,17.0,24.0,24.0,14.0,25.0,27.0,39.0,18.0,40.0,20.0,20.0,8.0,11.0,33.0,64.0,23.0,28.0,51.0,17.0,18.0,23.0,17.0,36.0,22.0,24.0,9.0,31.0,11.0,15.0,14.0,33.0,17.0,10.0,18.0,19.0,12.0,29.0,26.0,18.0,15.0
5,17.0,15.0,16.0,12.0,13.0,13.0,13.0,21.0,15.0,59.0,18.0,11.0,11.0,22.0,53.0,23.0,12.0,24.0,12.0,34.0,12.0,27.0,19.0,17.0,30.0,19.0,21.0,18.0,27.0,23.0,33.0,20.0,61.0,12.0,12.0,29.0,16.0,11.0,18.0,13.0,11.0,14.0,40.0,15.0,17.0,10.0,25.0,13.0,26.0,16.0
6,51.0,14.0,25.0,12.0,45.0,11.0,16.0,18.0,16.0,48.0,12.0,18.0,46.0,12.0,17.0,21.0,26.0,32.0,23.0,18.0,14.0,13.0,12.0,13.0,71.0,25.0,12.0,21.0,26.0,21.0,19.0,39.0,22.0,12.0,17.0,17.0,16.0,41.0,26.0,28.0,9.0,24.0,23.0,38.0,30.0,13.0,26.0,11.0,24.0,35.0
7,14.0,45.0,20.0,18.0,23.0,27.0,37.0,12.0,26.0,13.0,11.0,23.0,11.0,20.0,14.0,39.0,26.0,14.0,36.0,25.0,11.0,14.0,30.0,44.0,46.0,13.0,15.0,33.0,32.0,12.0,42.0,39.0,21.0,34.0,17.0,22.0,19.0,19.0,26.0,12.0,30.0,21.0,23.0,22.0,16.0,25.0,27.0,10.0,22.0,39.0
8,35.0,31.0,28.0,27.0,43.0,18.0,44.0,20.0,18.0,15.0,17.0,15.0,16.0,20.0,14.0,24.0,57.0,19.0,9.0,40.0,18.0,17.0,14.0,20.0,20.0,37.0,42.0,31.0,23.0,11.0,15.0,39.0,11.0,24.0,30.0,62.0,12.0,24.0,26.0,22.0,18.0,21.0,12.0,11.0,27.0,30.0,14.0,18.0,30.0,10.0
9,12.0,48.0,19.0,14.0,13.0,21.0,13.0,20.0,29.0,18.0,12.0,17.0,33.0,29.0,13.0,26.0,23.0,17.0,13.0,21.0,28.0,16.0,13.0,16.0,18.0,16.0,16.0,49.0,22.0,11.0,27.0,43.0,36.0,16.0,15.0,13.0,20.0,84.0,43.0,56.0,10.0,21.0,17.0,42.0,31.0,14.0,38.0,11.0,40.0,11.0
