,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,43.0,9.0,21.0,35.0,23.0,12.0,14.0,18.0,40.0,45.0,11.0,23.0,9.0,21.0,14.0,19.0,22.0,15.0,27.0,28.0,38.0,11.0,11.0,13.0,13.0,39.0,39.0,19.0,8.0,27.0,39.0,24.0,26.0,39.0,21.0,10.0,16.0,30.0,25.0,15.0,41.0,39.0,13.0,14.0,14.0,11.0,21.0,33.0,13.0,10.0
1,14.0,12.0,16.0,22.0,15.0,19.0,25.0,21.0,13.0,10.0,13.0,11.0,8.0,10.0,11.0,20.0,21.0,24.0,23.0,27.0,33.0,13.0,14.0,29.0,21.0,9.0,26.0,27.0,15.0,13.0,16.0,10.0,16.0,22.0,21.0,14.0,25.0,34.0,20.0,26.0,16.0,20.0,11.0,15.0,22.0,15.0,10.0,22.0,29.0,11.0
2,9.0,13.0,14.0,15.0,36.0,46.0,26.0,30.0,11.0,32.0,10.0,48.0,14.0,25.0,11.0,27.0,10.0,19.0,28.0,18.0,20.0,10.0,16.0,12.0,13.0,14.0,31.0,18.0,37.0,20.0,32.0,15.0,14.0,26.0,21.0,17.0,41.0,13.0,15.0,17.0,23.0,9.0,18.0,11.0,18.0,10.0,11.0,17.0,25.0,15.0
3,10.0,15.0,16.0,43.0,11.0,31.0,24.0,17.0,11.0,22.0,10.0,10.0,19.0,12.0,12.0,21.0,13.0,15.0,26.0,26.0,15.0,20.0,17.0,15.0,28.0,42.0,25.0,59.0,17.0,12.0,19.0,12.0,29.0,11.0,15.0,13.0,31.0,17.0,12.0,10.0,21.0,9.0,15.0,20.0,43.0,9.0,14.0,34.0,13.0,10.0
4,8.0,17.0,43.0,14.0,34.0,31.0,21.0,13.0,11.0,30.0,11.0,22.0,16.0,20.0,10.0,26.0,9.0,21.0,20.0,9.0,19.0,13.0,34.0,20.0,21.0,23.0,42.0,19.0,15.0,31.0,33.0,10.0,9.0,31.0,29.0,23.0,33.0,19.0,15.0,11.0,31.0,9.0,29.0,13.0,32.0,14.0,17.0,18.0,31.0,15.0
5,10.0,33.0,66.0,17.0,10.0,21.0,21.0,14.0,14.0,11.0,8.0,14.0,10.0,42.0,14.0,8.0,13.0,15.0,31.0,16.0,21.0,16.0,41.0,14.0,17.0,14.0,14.0,9.0,40.0,17.0,35.0,19.0,26.0,55.0,22.0,15.0,90.0,32.0,19.0,16.0,20.0,10.0,13.0,17.0,11.0,18.0,14.0,13.0,20.0,25.0
6,10.0,9.0,40.0,56.0,12.0,26.0,24.0,45.0,10.0,12.0,10.0,14.0,40.0,9.0,14.0,14.0,27.0,35.0,39.0,24.0,13.0,14.0,13.0,11.0,27.0,30.0,18.0,14.0,13.0,35.0,31.0,13.0,10.0,18.0,18.0,42.0,31.0,23.0,20.0,20.0,20.0,9.0,56.0,15.0,20.0,24.0,9.0,14.0,21.0,18.0
7,10.0,14.0,12.0,21.0,20.0,18.0,25.0,48.0,10.0,13.0,10.0,12.0,10.0,39.0,12.0,25.0,21.0,10.0,17.0,15.0,17.0,16.0,11.0,19.0,23.0,11.0,43.0,13.0,22.0,39.0,10.0,12.0,55.0,60.0,25.0,10.0,34.0,30.0,53.0,10.0,41.0,10.0,36.0,13.0,14.0,18.0,23.0,18.0,11.0,10.0
8,10.0,13.0,17.0,18.0,10.0,31.0,15.0,21.0,9.0,13.0,8.0,55.0,22.0,9.0,15.0,19.0,21.0,26.0,15.0,19.0,11.0,29.0,18.0,26.0,11.0,30.0,25.0,27.0,10.0,17.0,18.0,15.0,14.0,18.0,16.0,12.0,43.0,22.0,16.0,18.0,17.0,9.0,21.0,68.0,37.0,25.0,10.0,9.0,37.0,12.0
9,10.0,24.0,53.0,30.0,24.0,32.0,20.0,52.0,12.0,20.0,11.0,13.0,12.0,10.0,8.0,62.0,14.0,50.0,11.0,55.0,15.0,39.0,52.0,30.0,36.0,34.0,24.0,10.0,10.0,23.0,33.0,46.0,11.0,17.0,15.0,33.0,16.0,11.0,19.0,34.0,41.0,10.0,60.0,26.0,15.0,18.0,24.0,9.0,40.0,28.0
