,0,1,2,3,4,5,6,7,8,9
0,26.0,16.0,23.0,33.0,16.0,17.0,26.0,11.0,15.0,13.0
1,31.0,17.0,19.0,12.0,19.0,27.0,40.0,14.0,9.0,41.0
2,12.0,33.0,26.0,55.0,68.0,13.0,22.0,27.0,24.0,23.0
3,9.0,13.0,15.0,19.0,19.0,12.0,13.0,15.0,25.0,23.0
4,19.0,10.0,25.0,55.0,15.0,16.0,39.0,29.0,23.0,25.0
5,16.0,40.0,23.0,13.0,19.0,36.0,12.0,30.0,26.0,31.0
6,20.0,11.0,14.0,22.0,29.0,17.0,10.0,26.0,32.0,13.0
7,10.0,17.0,11.0,13.0,10.0,14.0,10.0,11.0,24.0,28.0
8,13.0,14.0,26.0,9.0,31.0,11.0,22.0,24.0,28.0,22.0
9,14.0,27.0,12.0,15.0,13.0,15.0,9.0,25.0,21.0,16.0
10,29.0,10.0,20.0,18.0,12.0,10.0,15.0,34.0,18.0,11.0
11,11.0,14.0,16.0,13.0,9.0,27.0,18.0,18.0,32.0,8.0
12,16.0,13.0,14.0,12.0,17.0,12.0,18.0,18.0,10.0,8.0
13,22.0,18.0,54.0,19.0,24.0,19.0,26.0,12.0,9.0,19.0
14,10.0,9.0,23.0,9.0,10.0,12.0,15.0,22.0,14.0,11.0
15,14.0,10.0,10.0,11.0,10.0,12.0,13.0,17.0,9.0,16.0
16,13.0,15.0,14.0,16.0,16.0,14.0,40.0,9.0,11.0,9.0
17,10.0,10.0,13.0,10.0,12.0,9.0,27.0,12.0,15.0,10.0
18,11.0,8.0,15.0,11.0,11.0,11.0,9.0,26.0,10.0,11.0
19,9.0,8.0,17.0,18.0,11.0,10.0,12.0,13.0,10.0,10.0
20,13.0,11.0,10.0,8.0,12.0,17.0,10.0,52.0,19.0,10.0
21,18.0,11.0,16.0,13.0,20.0,12.0,12.0,9.0,17.0,12.0
22,11.0,9.0,10.0,9.0,11.0,12.0,13.0,18.0,13.0,9.0
23,40.0,10.0,9.0,12.0,12.0,11.0,10.0,12.0,12.0,13.0
24,8.0,12.0,11.0,10.0,18.0,10.0,36.0,35.0,9.0,10.0
25,10.0,10.0,13.0,12.0,10.0,11.0,13.0,10.0,15.0,27.0
26,9.0,9.0,10.0,10.0,24.0,14.0,11.0,17.0,8.0,9.0
27,8.0,15.0,10.0,13.0,12.0,9.0,9.0,14.0,10.0,14.0
28,10.0,12.0,12.0,9.0,30.0,9.0,12.0,19.0,10.0,11.0
29,13.0,16.0,9.0,12.0,15.0,11.0,10.0,9.0,12.0,17.0
30,11.0,10.0,9.0,17.0,19.0,16.0,12.0,8.0,9.0,13.0
31,23.0,8.0,12.0,11.0,11.0,8.0,11.0,11.0,10.0,14.0
32,10.0,9.0,9.0,15.0,11.0,13.0,12.0,10.0,10.0,14.0
33,11.0,18.0,11.0,12.0,17.0,16.0,18.0,11.0,14.0,12.0
34,10.0,9.0,8.0,12.0,9.0,13.0,13.0,12.0,12.0,8.0
35,10.0,10.0,10.0,10.0,18.0,9.0,9.0,11.0,10.0,12.0
36,11.0,12.0,11.0,14.0,17.0,10.0,14.0,13.0,8.0,15.0
37,16.0,10.0,10.0,9.0,10.0,10.0,15.0,10.0,10.0,11.0
38,13.0,8.0,10.0,17.0,10.0,10.0,13.0,8.0,13.0,10.0
39,20.0,8.0,11.0,21.0,12.0,11.0,13.0,20.0,13.0,13.0
40,23.0,10.0,8.0,8.0,9.0,12.0,10.0,17.0,9.0,9.0
41,15.0,10.0,13.0,10.0,10.0,14.0,17.0,8.0,8.0,11.0
42,15.0,11.0,9.0,9.0,10.0,11.0,11.0,10.0,13.0,11.0
43,17.0,13.0,9.0,10.0,12.0,11.0,11.0,11.0,11.0,9.0
44,9.0,12.0,11.0,13.0,14.0,14.0,9.0,26.0,9.0,10.0
45,10.0,12.0,9.0,11.0,10.0,14.0,20.0,9.0,13.0,9.0
46,17.0,10.0,10.0,14.0,15.0,12.0,10.0,9.0,21.0,9.0
47,9.0,12.0,13.0,9.0,10.0,10.0,15.0,10.0,9.0,11.0
48,12.0,9.0,10.0,12.0,12.0,13.0,13.0,22.0,9.0,11.0
49,11.0,9.0,9.0,9.0,13.0,11.0,9.0,13.0,10.0,11.0
50,9.0,9.0,10.0,17.0,10.0,10.0,13.0,9.0,9.0,11.0
51,20.0,9.0,10.0,12.0,13.0,11.0,14.0,16.0,10.0,13.0
52,13.0,10.0,11.0,22.0,14.0,14.0,31.0,9.0,8.0,12.0
53,10.0,10.0,19.0,18.0,21.0,10.0,16.0,9.0,12.0,11.0
54,9.0,16.0,10.0,23.0,11.0,16.0,23.0,15.0,16.0,11.0
55,12.0,11.0,9.0,10.0,12.0,12.0,19.0,22.0,9.0,9.0
56,18.0,9.0,12.0,27.0,19.0,15.0,18.0,10.0,10.0,10.0
57,11.0,12.0,9.0,9.0,11.0,14.0,9.0,14.0,13.0,10.0
58,11.0,11.0,11.0,20.0,8.0,13.0,23.0,9.0,9.0,10.0
59,11.0,9.0,8.0,34.0,19.0,14.0,22.0,10.0,11.0,9.0
60,12.0,10.0,10.0,23.0,14.0,12.0,25.0,10.0,9.0,14.0
61,14.0,10.0,12.0,11.0,12.0,12.0,17.0,11.0,9.0,10.0
62,11.0,13.0,10.0,16.0,14.0,12.0,20.0,16.0,10.0,9.0
63,10.0,10.0,14.0,13.0,17.0,11.0,70.0,10.0,10.0,9.0
64,10.0,10.0,9.0,25.0,41.0,12.0,21.0,14.0,10.0,16.0
65,22.0,11.0,10.0,18.0,14.0,10.0,23.0,15.0,9.0,13.0
66,12.0,10.0,10.0,17.0,31.0,11.0,47.0,12.0,9.0,14.0
67,14.0,10.0,14.0,12.0,19.0,10.0,31.0,10.0,10.0,14.0
68,9.0,10.0,11.0,22.0,27.0,11.0,19.0,11.0,11.0,12.0
69,11.0,8.0,12.0,19.0,162.0,16.0,15.0,21.0,10.0,16.0
70,10.0,10.0,13.0,14.0,25.0,16.0,13.0,12.0,15.0,10.0
71,8.0,12.0,12.0,27.0,45.0,24.0,17.0,20.0,11.0,13.0
72,9.0,9.0,12.0,28.0,72.0,14.0,36.0,18.0,10.0,24.0
73,14.0,9.0,11.0,11.0,11.0,16.0,16.0,10.0,10.0,17.0
74,16.0,8.0,13.0,42.0,15.0,13.0,13.0,9.0,12.0,13.0
75,11.0,10.0,13.0,51.0,23.0,9.0,14.0,15.0,10.0,23.0
76,10.0,10.0,11.0,20.0,15.0,15.0,29.0,17.0,11.0,26.0
77,16.0,8.0,10.0,25.0,29.0,9.0,26.0,10.0,10.0,21.0
78,10.0,10.0,10.0,50.0,19.0,12.0,50.0,22.0,10.0,22.0
79,10.0,9.0,11.0,43.0,27.0,15.0,19.0,9.0,10.0,10.0
80,16.0,12.0,14.0,39.0,14.0,13.0,18.0,14.0,11.0,13.0
81,9.0,10.0,16.0,19.0,15.0,11.0,25.0,15.0,18.0,18.0
82,11.0,13.0,19.0,60.0,15.0,14.0,19.0,28.0,10.0,21.0
83,11.0,9.0,20.0,14.0,18.0,10.0,28.0,19.0,12.0,23.0
84,11.0,12.0,12.0,20.0,18.0,12.0,38.0,8.0,10.0,16.0
85,23.0,10.0,68.0,9.0,24.0,10.0,73.0,22.0,10.0,22.0
86,18.0,9.0,16.0,71.0,16.0,14.0,21.0,43.0,10.0,17.0
87,34.0,9.0,16.0,18.0,27.0,10.0,20.0,23.0,10.0,19.0
88,33.0,16.0,36.0,48.0,13.0,10.0,49.0,17.0,10.0,19.0
89,15.0,10.0,17.0,46.0,9.0,13.0,32.0,21.0,13.0,15.0
90,26.0,13.0,17.0,47.0,101.0,9.0,14.0,33.0,11.0,20.0
91,17.0,14.0,42.0,72.0,17.0,11.0,13.0,24.0,16.0,16.0
92,16.0,16.0,34.0,20.0,17.0,10.0,43.0,11.0,11.0,16.0
93,17.0,19.0,15.0,69.0,15.0,12.0,28.0,20.0,13.0,16.0
94,11.0,16.0,11.0,38.0,110.0,18.0,22.0,45.0,9.0,13.0
95,30.0,10.0,16.0,23.0,28.0,16.0,24.0,50.0,11.0,21.0
96,20.0,15.0,20.0,18.0,51.0,14.0,25.0,70.0,14.0,17.0
97,21.0,10.0,19.0,36.0,62.0,10.0,27.0,36.0,11.0,23.0
98,24.0,15.0,15.0,56.0,63.0,15.0,38.0,24.0,11.0,18.0
99,32.0,11.0,22.0,19.0,29.0,11.0,22.0,21.0,13.0,28.0
