,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,13.0,30.0,13.0,14.0,14.0,15.0,18.0,14.0,18.0,10.0,26.0,67.0,29.0,17.0,20.0,19.0,18.0,31.0,18.0,20.0,49.0,14.0,14.0,22.0,19.0,30.0,29.0,13.0,35.0,43.0,15.0,16.0,29.0,29.0,36.0,13.0,20.0,16.0,12.0,17.0,12.0,17.0,13.0,22.0,12.0,14.0,66.0,15.0,27.0,14.0
1,20.0,29.0,22.0,12.0,16.0,12.0,11.0,12.0,16.0,13.0,47.0,44.0,28.0,15.0,13.0,20.0,19.0,16.0,12.0,26.0,42.0,11.0,14.0,22.0,26.0,43.0,14.0,11.0,27.0,39.0,12.0,8.0,20.0,118.0,64.0,15.0,27.0,11.0,13.0,15.0,15.0,17.0,15.0,23.0,13.0,16.0,39.0,18.0,24.0,16.0
2,18.0,30.0,21.0,10.0,13.0,16.0,14.0,15.0,16.0,10.0,33.0,65.0,44.0,13.0,16.0,71.0,24.0,18.0,17.0,20.0,35.0,10.0,15.0,24.0,25.0,41.0,14.0,10.0,63.0,30.0,14.0,17.0,36.0,88.0,62.0,14.0,34.0,18.0,12.0,25.0,15.0,22.0,14.0,27.0,12.0,18.0,77.0,19.0,39.0,12.0
3,16.0,23.0,17.0,10.0,17.0,15.0,15.0,13.0,15.0,14.0,33.0,60.0,48.0,10.0,19.0,99.0,25.0,20.0,19.0,30.0,39.0,9.0,22.0,24.0,23.0,39.0,17.0,11.0,68.0,43.0,15.0,15.0,22.0,56.0,34.0,20.0,45.0,31.0,15.0,20.0,24.0,69.0,15.0,43.0,13.0,13.0,40.0,14.0,32.0,16.0
4,20.0,24.0,30.0,10.0,20.0,12.0,16.0,13.0,19.0,18.0,54.0,51.0,85.0,17.0,20.0,44.0,21.0,28.0,20.0,35.0,72.0,10.0,17.0,14.0,27.0,20.0,20.0,10.0,44.0,20.0,20.0,18.0,46.0,64.0,53.0,18.0,86.0,34.0,10.0,22.0,18.0,55.0,12.0,32.0,14.0,18.0,45.0,15.0,32.0,33.0
5,23.0,39.0,22.0,13.0,33.0,13.0,19.0,20.0,34.0,13.0,76.0,68.0,43.0,19.0,30.0,98.0,20.0,38.0,27.0,28.0,46.0,9.0,27.0,18.0,42.0,23.0,16.0,13.0,55.0,29.0,15.0,20.0,62.0,67.0,60.0,45.0,92.0,43.0,9.0,18.0,37.0,53.0,17.0,46.0,15.0,15.0,49.0,20.0,21.0,55.0
6,25.0,27.0,22.0,11.0,42.0,13.0,18.0,19.0,56.0,13.0,75.0,105.0,33.0,25.0,15.0,93.0,36.0,56.0,25.0,27.0,69.0,8.0,39.0,17.0,51.0,15.0,17.0,11.0,78.0,20.0,20.0,25.0,49.0,44.0,51.0,47.0,89.0,55.0,10.0,24.0,18.0,36.0,16.0,42.0,14.0,15.0,72.0,27.0,32.0,30.0
7,23.0,29.0,36.0,22.0,74.0,13.0,28.0,22.0,73.0,17.0,46.0,43.0,33.0,20.0,17.0,32.0,42.0,57.0,18.0,42.0,71.0,8.0,24.0,20.0,105.0,14.0,32.0,16.0,64.0,29.0,32.0,21.0,52.0,55.0,76.0,37.0,60.0,116.0,10.0,25.0,21.0,36.0,13.0,30.0,16.0,28.0,60.0,34.0,78.0,99.0
8,24.0,51.0,23.0,17.0,71.0,13.0,17.0,26.0,25.0,16.0,105.0,92.0,49.0,34.0,13.0,46.0,65.0,34.0,21.0,74.0,79.0,9.0,36.0,17.0,49.0,21.0,34.0,17.0,52.0,32.0,56.0,17.0,47.0,51.0,44.0,112.0,45.0,31.0,9.0,36.0,44.0,39.0,14.0,29.0,14.0,23.0,36.0,19.0,75.0,47.0
9,25.0,43.0,27.0,13.0,59.0,27.0,16.0,28.0,37.0,20.0,61.0,59.0,31.0,32.0,17.0,29.0,39.0,38.0,97.0,36.0,44.0,9.0,23.0,16.0,95.0,18.0,25.0,12.0,51.0,20.0,44.0,23.0,62.0,52.0,26.0,82.0,65.0,29.0,9.0,25.0,37.0,20.0,15.0,41.0,19.0,23.0,74.0,22.0,51.0,43.0
