,0,1,2,3,4,5,6,7,8,9
0,20.0,24.0,28.0,24.0,17.0,16.0,15.0,17.0,13.0,12.0
1,15.0,28.0,13.0,21.0,25.0,13.0,13.0,26.0,13.0,17.0
2,18.0,23.0,23.0,20.0,34.0,19.0,22.0,14.0,14.0,18.0
3,16.0,25.0,20.0,18.0,23.0,18.0,22.0,17.0,10.0,14.0
4,21.0,21.0,14.0,15.0,20.0,18.0,15.0,17.0,54.0,29.0
5,32.0,12.0,10.0,8.0,17.0,17.0,25.0,37.0,13.0,15.0
6,10.0,22.0,34.0,10.0,21.0,29.0,22.0,17.0,25.0,9.0
7,10.0,74.0,36.0,13.0,32.0,14.0,16.0,62.0,13.0,19.0
8,25.0,20.0,9.0,12.0,16.0,35.0,15.0,22.0,18.0,14.0
9,27.0,20.0,17.0,10.0,12.0,22.0,11.0,16.0,30.0,18.0
10,19.0,23.0,11.0,10.0,16.0,13.0,21.0,32.0,10.0,17.0
11,18.0,20.0,13.0,10.0,31.0,15.0,13.0,22.0,26.0,18.0
12,15.0,22.0,12.0,25.0,13.0,15.0,11.0,17.0,31.0,10.0
13,21.0,37.0,19.0,13.0,10.0,14.0,17.0,15.0,9.0,14.0
14,39.0,36.0,18.0,14.0,35.0,47.0,17.0,33.0,24.0,10.0
15,13.0,15.0,10.0,14.0,12.0,66.0,16.0,24.0,17.0,20.0
16,10.0,19.0,12.0,14.0,16.0,19.0,15.0,16.0,12.0,17.0
17,20.0,12.0,10.0,14.0,37.0,15.0,18.0,11.0,20.0,12.0
18,24.0,46.0,11.0,12.0,21.0,12.0,18.0,14.0,39.0,12.0
19,23.0,21.0,10.0,10.0,14.0,14.0,54.0,13.0,12.0,15.0
20,16.0,15.0,11.0,30.0,14.0,16.0,28.0,16.0,19.0,18.0
21,40.0,15.0,10.0,12.0,16.0,32.0,47.0,12.0,12.0,9.0
22,18.0,18.0,12.0,13.0,27.0,38.0,14.0,19.0,12.0,11.0
23,55.0,27.0,10.0,10.0,13.0,12.0,27.0,12.0,17.0,18.0
24,52.0,19.0,20.0,12.0,20.0,13.0,16.0,12.0,17.0,11.0
25,31.0,18.0,23.0,11.0,29.0,68.0,38.0,24.0,27.0,9.0
26,27.0,39.0,14.0,15.0,19.0,17.0,13.0,29.0,57.0,19.0
27,43.0,14.0,10.0,17.0,22.0,20.0,39.0,16.0,33.0,20.0
28,26.0,17.0,17.0,12.0,10.0,11.0,33.0,108.0,17.0,11.0
29,40.0,9.0,9.0,49.0,25.0,12.0,13.0,21.0,35.0,12.0
30,14.0,16.0,13.0,19.0,30.0,31.0,17.0,17.0,27.0,11.0
31,21.0,14.0,17.0,17.0,15.0,30.0,23.0,17.0,14.0,24.0
32,18.0,41.0,11.0,17.0,34.0,16.0,18.0,16.0,34.0,20.0
33,30.0,12.0,27.0,18.0,31.0,27.0,29.0,10.0,17.0,32.0
34,14.0,10.0,25.0,9.0,35.0,19.0,13.0,15.0,13.0,16.0
35,35.0,12.0,14.0,16.0,15.0,11.0,21.0,26.0,12.0,33.0
36,31.0,23.0,21.0,17.0,14.0,9.0,14.0,20.0,24.0,59.0
37,16.0,9.0,28.0,12.0,22.0,17.0,23.0,29.0,18.0,16.0
38,32.0,18.0,11.0,9.0,14.0,15.0,17.0,12.0,9.0,23.0
39,29.0,12.0,24.0,16.0,29.0,20.0,15.0,14.0,12.0,14.0
40,45.0,14.0,29.0,12.0,27.0,12.0,12.0,16.0,29.0,34.0
