,0,1,2,3,4,5,6,7,8,9
41,22.0,9.0,23.0,9.0,16.0,19.0,17.0,16.0,14.0,11.0
42,14.0,19.0,34.0,14.0,22.0,18.0,19.0,21.0,13.0,20.0
43,17.0,19.0,18.0,32.0,24.0,24.0,15.0,39.0,12.0,12.0
44,20.0,12.0,30.0,30.0,52.0,29.0,18.0,27.0,12.0,39.0
45,14.0,13.0,13.0,8.0,53.0,53.0,19.0,14.0,25.0,16.0
46,31.0,11.0,30.0,16.0,12.0,59.0,39.0,13.0,9.0,12.0
47,54.0,12.0,14.0,17.0,27.0,19.0,12.0,25.0,18.0,16.0
48,33.0,9.0,37.0,27.0,23.0,12.0,19.0,13.0,18.0,18.0
49,12.0,14.0,13.0,12.0,31.0,13.0,14.0,21.0,13.0,9.0
50,31.0,21.0,13.0,17.0,36.0,38.0,24.0,53.0,23.0,17.0
51,16.0,15.0,33.0,13.0,35.0,14.0,26.0,14.0,10.0,16.0
52,36.0,10.0,25.0,36.0,28.0,21.0,29.0,29.0,15.0,13.0
53,25.0,12.0,20.0,23.0,17.0,49.0,30.0,12.0,27.0,11.0
54,23.0,12.0,17.0,24.0,22.0,31.0,12.0,19.0,9.0,30.0
55,31.0,16.0,17.0,14.0,18.0,20.0,33.0,16.0,9.0,17.0
56,18.0,12.0,13.0,48.0,33.0,15.0,19.0,32.0,11.0,17.0
57,41.0,8.0,11.0,44.0,21.0,14.0,15.0,15.0,12.0,15.0
58,13.0,11.0,24.0,27.0,22.0,19.0,14.0,23.0,10.0,19.0
59,11.0,11.0,24.0,23.0,15.0,36.0,18.0,23.0,9.0,18.0
60,19.0,10.0,13.0,19.0,18.0,33.0,17.0,18.0,12.0,27.0
61,21.0,14.0,27.0,19.0,14.0,14.0,19.0,14.0,11.0,15.0
62,12.0,9.0,55.0,12.0,25.0,19.0,14.0,12.0,10.0,33.0
63,11.0,15.0,11.0,72.0,36.0,44.0,18.0,17.0,20.0,13.0
64,27.0,12.0,12.0,20.0,14.0,18.0,29.0,15.0,10.0,12.0
65,11.0,12.0,18.0,19.0,17.0,27.0,21.0,24.0,10.0,21.0
66,38.0,14.0,15.0,14.0,41.0,51.0,28.0,12.0,11.0,18.0
67,23.0,13.0,11.0,10.0,20.0,18.0,33.0,25.0,17.0,16.0
68,31.0,9.0,20.0,16.0,24.0,11.0,13.0,14.0,9.0,23.0
69,13.0,12.0,11.0,13.0,30.0,59.0,25.0,18.0,12.0,15.0
70,27.0,10.0,29.0,17.0,24.0,12.0,16.0,12.0,9.0,17.0
71,49.0,11.0,9.0,22.0,32.0,23.0,15.0,15.0,9.0,13.0
72,19.0,17.0,15.0,13.0,22.0,57.0,20.0,18.0,12.0,15.0
73,30.0,11.0,38.0,26.0,11.0,19.0,16.0,28.0,9.0,18.0
74,13.0,15.0,12.0,19.0,21.0,14.0,32.0,10.0,9.0,13.0
75,13.0,9.0,13.0,36.0,17.0,16.0,21.0,29.0,10.0,19.0
76,11.0,9.0,16.0,14.0,14.0,12.0,20.0,22.0,10.0,23.0
77,24.0,10.0,17.0,21.0,15.0,14.0,24.0,28.0,12.0,16.0
78,13.0,10.0,16.0,10.0,19.0,9.0,20.0,13.0,10.0,20.0
79,25.0,9.0,28.0,23.0,23.0,22.0,37.0,29.0,9.0,21.0
80,40.0,14.0,20.0,30.0,28.0,22.0,49.0,37.0,9.0,30.0
81,15.0,10.0,70.0,13.0,9.0,18.0,33.0,18.0,11.0,12.0
82,11.0,9.0,20.0,26.0,18.0,18.0,19.0,33.0,10.0,16.0
83,15.0,11.0,25.0,14.0,46.0,11.0,36.0,17.0,10.0,12.0
84,16.0,13.0,12.0,33.0,37.0,24.0,22.0,16.0,9.0,29.0
85,22.0,9.0,10.0,21.0,16.0,62.0,21.0,19.0,10.0,38.0
86,11.0,10.0,17.0,15.0,57.0,16.0,43.0,25.0,12.0,28.0
87,18.0,9.0,10.0,31.0,17.0,12.0,42.0,16.0,13.0,12.0
88,10.0,15.0,18.0,19.0,17.0,16.0,43.0,24.0,11.0,19.0
89,12.0,12.0,22.0,31.0,16.0,16.0,11.0,26.0,13.0,13.0
90,12.0,11.0,21.0,16.0,11.0,18.0,15.0,78.0,14.0,28.0
91,21.0,10.0,26.0,44.0,16.0,10.0,31.0,41.0,11.0,45.0
92,13.0,13.0,30.0,19.0,22.0,11.0,15.0,41.0,11.0,26.0
93,11.0,10.0,34.0,15.0,10.0,16.0,45.0,16.0,12.0,37.0
94,12.0,10.0,25.0,13.0,37.0,35.0,27.0,18.0,9.0,27.0
95,37.0,12.0,11.0,15.0,33.0,13.0,16.0,47.0,11.0,21.0
96,15.0,10.0,24.0,15.0,35.0,22.0,13.0,28.0,9.0,27.0
97,11.0,10.0,27.0,19.0,29.0,15.0,21.0,24.0,12.0,16.0
98,15.0,8.0,59.0,11.0,19.0,15.0,24.0,28.0,17.0,56.0
99,29.0,13.0,31.0,14.0,23.0,16.0,48.0,13.0,11.0,15.0
