,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,10.0,13.0,30.0,19.0,9.0,12.0,18.0,13.0,17.0,26.0,11.0,11.0,34.0,13.0,17.0,17.0,33.0,39.0,35.0,33.0,13.0,30.0,26.0,16.0,18.0,27.0,11.0,11.0,11.0,18.0,16.0,12.0,12.0,34.0,12.0,28.0,26.0,14.0,14.0,75.0,16.0,21.0,11.0,14.0,14.0,12.0,40.0,17.0,20.0,52.0
1,11.0,9.0,10.0,14.0,20.0,42.0,20.0,12.0,11.0,31.0,14.0,10.0,14.0,19.0,19.0,26.0,10.0,8.0,34.0,34.0,16.0,15.0,35.0,18.0,17.0,30.0,21.0,16.0,11.0,20.0,12.0,24.0,21.0,32.0,17.0,12.0,29.0,16.0,17.0,18.0,11.0,54.0,37.0,25.0,15.0,21.0,26.0,27.0,18.0,18.0
2,29.0,23.0,13.0,29.0,14.0,29.0,19.0,32.0,23.0,23.0,13.0,27.0,18.0,16.0,25.0,16.0,47.0,16.0,30.0,12.0,11.0,9.0,63.0,15.0,18.0,10.0,17.0,23.0,16.0,24.0,15.0,11.0,12.0,8.0,12.0,12.0,20.0,18.0,13.0,12.0,11.0,33.0,14.0,28.0,18.0,14.0,13.0,35.0,18.0,45.0
3,10.0,25.0,18.0,37.0,16.0,16.0,14.0,51.0,16.0,26.0,19.0,29.0,28.0,19.0,22.0,32.0,21.0,10.0,18.0,20.0,15.0,11.0,106.0,13.0,20.0,43.0,12.0,11.0,9.0,10.0,34.0,10.0,24.0,14.0,32.0,15.0,22.0,14.0,20.0,69.0,15.0,11.0,16.0,11.0,12.0,9.0,14.0,61.0,19.0,44.0
4,9.0,38.0,22.0,27.0,24.0,21.0,19.0,30.0,11.0,18.0,14.0,39.0,14.0,16.0,21.0,63.0,20.0,22.0,23.0,17.0,13.0,14.0,12.0,11.0,34.0,31.0,33.0,30.0,10.0,46.0,20.0,9.0,24.0,9.0,18.0,21.0,25.0,14.0,27.0,17.0,15.0,43.0,25.0,37.0,28.0,9.0,16.0,30.0,16.0,14.0
5,10.0,14.0,20.0,27.0,12.0,15.0,11.0,46.0,13.0,50.0,36.0,13.0,27.0,13.0,41.0,15.0,19.0,24.0,16.0,17.0,11.0,32.0,23.0,14.0,30.0,50.0,17.0,15.0,18.0,24.0,13.0,21.0,11.0,23.0,17.0,16.0,33.0,14.0,23.0,41.0,49.0,35.0,25.0,22.0,12.0,19.0,23.0,65.0,22.0,22.0
6,21.0,51.0,33.0,17.0,30.0,12.0,67.0,36.0,10.0,16.0,14.0,21.0,19.0,10.0,11.0,35.0,15.0,25.0,29.0,38.0,9.0,14.0,27.0,22.0,17.0,26.0,21.0,42.0,14.0,36.0,18.0,15.0,11.0,17.0,30.0,17.0,16.0,24.0,27.0,44.0,27.0,16.0,15.0,17.0,10.0,10.0,23.0,24.0,29.0,21.0
7,23.0,10.0,24.0,15.0,21.0,20.0,16.0,16.0,37.0,35.0,10.0,29.0,13.0,15.0,31.0,19.0,26.0,20.0,25.0,39.0,9.0,18.0,59.0,30.0,27.0,27.0,47.0,45.0,14.0,19.0,20.0,9.0,14.0,17.0,85.0,20.0,13.0,28.0,45.0,16.0,13.0,51.0,11.0,42.0,10.0,8.0,21.0,63.0,18.0,28.0
8,33.0,26.0,24.0,18.0,26.0,18.0,27.0,17.0,14.0,47.0,42.0,14.0,31.0,15.0,24.0,25.0,24.0,14.0,15.0,26.0,11.0,11.0,23.0,49.0,48.0,27.0,22.0,15.0,25.0,20.0,22.0,26.0,9.0,46.0,23.0,19.0,25.0,11.0,15.0,36.0,13.0,27.0,26.0,53.0,19.0,10.0,14.0,50.0,33.0,18.0
9,34.0,41.0,26.0,24.0,12.0,16.0,11.0,43.0,15.0,50.0,39.0,18.0,16.0,21.0,19.0,24.0,13.0,23.0,40.0,22.0,17.0,34.0,22.0,26.0,9.0,23.0,16.0,33.0,15.0,16.0,14.0,23.0,9.0,12.0,15.0,12.0,26.0,33.0,30.0,34.0,26.0,17.0,14.0,15.0,12.0,10.0,22.0,19.0,23.0,36.0
