,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,10.0,33.0,18.0,16.0,24.0,14.0,13.0,18.0,51.0,26.0,17.0,12.0,26.0,13.0,23.0,16.0,16.0,25.0,14.0,16.0,14.0,18.0,14.0,23.0,18.0,12.0,14.0,12.0,13.0,13.0,16.0,10.0,16.0,42.0,18.0,11.0,13.0,25.0,24.0,35.0,21.0,41.0,19.0,29.0,9.0,61.0,48.0,29.0,18.0,16.0
1,10.0,28.0,15.0,16.0,40.0,13.0,12.0,16.0,16.0,15.0,17.0,19.0,16.0,15.0,17.0,15.0,29.0,19.0,10.0,21.0,14.0,16.0,14.0,24.0,16.0,10.0,35.0,16.0,13.0,11.0,44.0,10.0,12.0,24.0,27.0,15.0,18.0,13.0,16.0,16.0,16.0,16.0,15.0,14.0,10.0,27.0,18.0,33.0,26.0,14.0
2,10.0,32.0,28.0,27.0,26.0,11.0,17.0,14.0,15.0,29.0,18.0,17.0,23.0,11.0,11.0,27.0,23.0,15.0,12.0,27.0,19.0,15.0,14.0,27.0,17.0,17.0,40.0,19.0,11.0,11.0,22.0,13.0,11.0,26.0,47.0,16.0,14.0,11.0,16.0,10.0,13.0,19.0,10.0,9.0,11.0,16.0,19.0,16.0,41.0,13.0
3,9.0,41.0,15.0,18.0,43.0,14.0,16.0,19.0,22.0,18.0,20.0,17.0,30.0,13.0,11.0,23.0,32.0,17.0,12.0,17.0,20.0,14.0,11.0,55.0,19.0,19.0,54.0,19.0,9.0,12.0,26.0,17.0,19.0,31.0,33.0,25.0,10.0,12.0,11.0,18.0,14.0,20.0,12.0,8.0,12.0,19.0,24.0,21.0,31.0,10.0
4,10.0,43.0,9.0,16.0,22.0,19.0,13.0,15.0,17.0,19.0,26.0,22.0,32.0,16.0,14.0,29.0,37.0,22.0,13.0,22.0,19.0,14.0,16.0,23.0,21.0,30.0,41.0,16.0,11.0,14.0,30.0,20.0,12.0,32.0,60.0,26.0,14.0,13.0,19.0,17.0,17.0,21.0,19.0,9.0,10.0,19.0,16.0,30.0,30.0,10.0
5,10.0,26.0,14.0,20.0,46.0,20.0,17.0,14.0,17.0,14.0,24.0,14.0,21.0,13.0,15.0,19.0,22.0,32.0,10.0,39.0,17.0,27.0,9.0,22.0,20.0,16.0,25.0,24.0,10.0,9.0,39.0,16.0,15.0,26.0,30.0,20.0,16.0,11.0,15.0,14.0,19.0,30.0,15.0,12.0,10.0,13.0,16.0,30.0,31.0,10.0
6,10.0,30.0,12.0,24.0,30.0,19.0,17.0,15.0,13.0,14.0,29.0,30.0,20.0,20.0,12.0,20.0,25.0,22.0,12.0,33.0,15.0,16.0,8.0,24.0,15.0,21.0,37.0,25.0,10.0,12.0,26.0,14.0,18.0,34.0,25.0,21.0,19.0,15.0,28.0,12.0,18.0,22.0,19.0,9.0,9.0,18.0,22.0,20.0,19.0,10.0
7,9.0,33.0,17.0,17.0,27.0,21.0,9.0,21.0,19.0,18.0,36.0,27.0,18.0,23.0,12.0,17.0,29.0,25.0,10.0,27.0,17.0,15.0,13.0,37.0,13.0,25.0,27.0,18.0,11.0,12.0,36.0,15.0,18.0,20.0,26.0,26.0,13.0,23.0,21.0,13.0,21.0,18.0,15.0,10.0,9.0,18.0,20.0,16.0,22.0,11.0
8,10.0,25.0,16.0,25.0,38.0,20.0,12.0,22.0,20.0,14.0,37.0,24.0,27.0,31.0,17.0,22.0,37.0,25.0,19.0,22.0,15.0,14.0,12.0,42.0,24.0,23.0,45.0,14.0,14.0,14.0,37.0,16.0,27.0,28.0,26.0,22.0,18.0,17.0,20.0,17.0,33.0,14.0,14.0,11.0,9.0,20.0,20.0,17.0,29.0,13.0
9,10.0,33.0,18.0,25.0,35.0,24.0,11.0,14.0,20.0,15.0,26.0,24.0,31.0,16.0,18.0,24.0,21.0,17.0,12.0,24.0,13.0,13.0,13.0,37.0,23.0,17.0,36.0,26.0,12.0,19.0,21.0,14.0,12.0,20.0,31.0,22.0,19.0,22.0,22.0,14.0,19.0,16.0,13.0,9.0,9.0,16.0,20.0,26.0,19.0,11.0
